movie_id,name,star_id,star_url
6950,S.S. 拉傑摩利,,
7079,德瑞克波堤(Derrick Borte),,
6923,喬納森萊文,,
6870,蔡康永,,
6875,費南多楚巴(Fernando Trueba),,
7027,萊羅索楊恩(Ry Russo-Young),40722.0,https://tw.movies.yahoo.com/name_main/40722
7083,蘇珊喬森(Susan Johnson),40882.0,https://tw.movies.yahoo.com/name_main/40882
7087,高志森,,
6927,遊川和彥 (Yukawa Kazuhiko),,
7091,上野大輔(Daisuke Kamijo),,
7098,賽門魏斯特(Simon West),,
7108,陳敬音(Kirsten Tan),40914.0,https://tw.movies.yahoo.com/name_main/40914
7110,泰勒謝里丹(Taylor Sheridan),,
6600,伊藤智彦,,
7113,大衛芬奇(David Fincher),177.0,https://tw.movies.yahoo.com/name_main/177
6615,喬丹沃格特羅伯茲,,
6777,涅提帝瓦里(Nitesh Tiwari),,
6266,水島努,,
7101,麗莎阿祖洛斯(Lisa Azuelos),7154.0,https://tw.movies.yahoo.com/name_main/7154
7102,新誠毅彥,,
6847,谷内田彰久,,
6944,彭秀慧,,
7115,王毓雅(Alice Wang),36929.0,https://tw.movies.yahoo.com/name_main/36929
6839,盧謹明,,
7120,柏登米利卡(Bogdan Mirica),,
7117,瓦切布魯古鈞(Vatche Boulghourjian),,
7136,丹尼爾維卡利(Daniele Vicari),40976.0,https://tw.movies.yahoo.com/name_main/40976
7137,馬特歐羅韋雷(Matteo Rovere),,
7133,林育賢,11951.0,https://tw.movies.yahoo.com/name_main/11951
7133,郭樂興,40970.0,https://tw.movies.yahoo.com/name_main/40970
7121,瑞奇拉格斯戴爾(Rich Ragsdale),40949.0,https://tw.movies.yahoo.com/name_main/40949
7122,哈維爾根斯(Xavier Gens),,
7124,大衛林區(David Lynch),,
6837,約翰雷歐納堤(John R. Leonetti),,
6682,塞斯高登,,
6938,保羅卡利(Paul Currie),,
6909,約翰尼斯羅勃茲(Johannes Roberts),,
7154,朴勳政,,
7156,朱利安羅斯費爾特(Julian Rosefeldt),,
7191,陳宏一(Chen Hung-i),10214.0,https://tw.movies.yahoo.com/name_main/10214
7159,許正,,
7209,張志勇,,
6878,安藤尋,,
6908,清水崇(Takashi Shimizu),,
6647,艾力克斯寇茲曼,,
7153,蕭寒,41014.0,https://tw.movies.yahoo.com/name_main/41014
7161,月川翔,,
7178,麥克曼德茲(Mike Mendez),,
7277,馬丁波渥斯(Martin Provost),7484.0,https://tw.movies.yahoo.com/name_main/7484
7196,羅儀修,41116.0,https://tw.movies.yahoo.com/name_main/41116
7281,格里高利道南(Gregory Doran),,
7151,馬克偉柏(Marc Webb),7340.0,https://tw.movies.yahoo.com/name_main/7340
7187,廣木隆一(Ryuichi Hiroki),,
7234,賈克杜瓦雍(Jacques DOILLON),,
7240,蘇巴西什普塔尼(Shubhashish Bhutiani),41183.0,https://tw.movies.yahoo.com/name_main/41183
7272,狄恩戴夫林(Dean Devlin),,
7147,深川榮洋(Yoshihiro Fukagawa),,
7220,多蘿塔柯碧雅拉(Dorota Kobiela),,
7220,休魏奇曼(Hugh Welchman),,
7228,麥克懷特(Mike White),41165.0,https://tw.movies.yahoo.com/name_main/41165
7253,史考特韓森(Scott Hansen),,
7263,熊澤尚人,13598.0,https://tw.movies.yahoo.com/name_main/13598
7282,克里斯多福勒斯科姆(Christopher Luscombe),,
7262,丹尼史莊(Danny Strong),41215.0,https://tw.movies.yahoo.com/name_main/41215
7217,安迪席克斯(Andy Serkis),305.0,https://tw.movies.yahoo.com/name_main/305
7284,克里斯多福勒斯科姆(Christopher Luscombe),,
7141,麥可斯派瑞格(Michael Spierig),12284.0,https://tw.movies.yahoo.com/name_main/12284
7141,彼得斯派瑞格(Peter Spierig),10046.0,https://tw.movies.yahoo.com/name_main/10046
7227,詹姆士艾佛利(James Ivory),6188.0,https://tw.movies.yahoo.com/name_main/6188
7259,李子俊,,
7296,原田真人,,
7144,深津昌和(Masakazu Fukatsu),,
7199,浜名孝行,,
7139,喬瑟夫柯辛斯基(Joseph Kosinski),6680.0,https://tw.movies.yahoo.com/name_main/6680
7184,強納生戴頓(Jonathan Dayton),,
7184,薇樂麗法里(Valerie Faris),,
7243,小林政廣(Masahiro Kobayashi),,
7248,楊雅喆,,
7257,吳宇森,,
7287,魯伯特古爾德(Rupert Goold),,
7251,斯圖爾特斯帕克(Stewart Sparke),,
7279,肯尼斯布萊納(Kenneth Branagh),,
7279,羅伯艾許福德(Rob Ashford),,
7225,葛格麥克林(Greg McLean),1995.0,https://tw.movies.yahoo.com/name_main/1995
7232,黃熙,,
7286,肯尼斯布萊納(Kenneth Branagh),,
7286,羅伯艾許福德(Rob Ashford),,
7256,張家輝(Nick Cheung),316.0,https://tw.movies.yahoo.com/name_main/316
7274,傑克卡斯丹(Jake Kasdan),,
7212,亞當羅勃提爾(Adam Robitel),,
7290,艾方索戈梅茲雷瓊(Alfonso Gomez-Rejon),9818.0,https://tw.movies.yahoo.com/name_main/9818
7222,亞歷山大潘恩(Alexander Payne),1072.0,https://tw.movies.yahoo.com/name_main/1072
7215,尼克帕克(Nick Park),,
7221,詹姆斯佛利(James Foley),,
7293,雷利史考特(Ridley Scott),820.0,https://tw.movies.yahoo.com/name_main/820
7241,法蘭西斯勞倫斯(Francis Lawrence),,
6933,馬可貝洛奇歐(Marco Bellocchio),,
7299,凱特蕭蘭(Cate Shortland),41257.0,https://tw.movies.yahoo.com/name_main/41257
7149,黑澤明(Akira Kurosawa),10967.0,https://tw.movies.yahoo.com/name_main/10967
7165,大衛林區(David Lynch),,
7166,大衛林區(David Lynch),,
7172,威爾韋韋尼克(Will Wernick),,
7181,肯艾弗諾(Can Evrenol),,
7194,合津貴雄(Takao Gotsu),41094.0,https://tw.movies.yahoo.com/name_main/41094
7202,喬納斯納柏(Johannes Naber),41122.0,https://tw.movies.yahoo.com/name_main/41122
7204,關智耀,,
6928,河瀨直美(Naomi Kawase),514.0,https://tw.movies.yahoo.com/name_main/514
7310,元信延,,
7311,凱瑞莫尼恩(Cary Murnion),,
7311,強納森米洛特(Jonathan Milott),,
7316,趙善浩,,
7320,卡林彼得奈特(Calin Peter Natzer),11399.0,https://tw.movies.yahoo.com/name_main/11399
7323,索芬沙達菲斯(Sophon Sakdaphisit),,
