Address,FaxNo,POIID,POIName,SpecialStore_Kind,Store_URL,Telno,X,Y,city_name,is7WiFi,isATM,isCityCafe,isCorn,isDining,isFruit,isHealthStations,isHotDog,isIbon,isIce,isIceCream,isLavatory,isMakeup,isMisterDonuts,isMuji,isOpenStore,isOrganic,isParking,isStarBucks,isSweetPotato,isTea,isUnionPay,town_name,logitude,latitude,company
台北市松山區撫遠街197號199號,(02)27647731        ,112684              ,塔優,,,(02)27648499        ,121568049.0,25059856.0,台北市,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,松山區,121.568049,25.059856,7-11
台北市松山區寧安街3巷11號1樓,(02)25777325        ,165976              ,新育商,,,(02)25774269        ,121554982.395519,25049098.9429572,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,松山區,121.554982395519,25.0490989429572,7-11
台北市松山區八德路三段200號202號1樓,(02)25785648        ,990673              ,新復勢,,,(02)25785350        ,121556434.0,25047914.0,台北市,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,Y,N,N,松山區,121.556434,25.047914,7-11
台北市松山區南京東路五段334號336號1樓,(02)27627339        ,171638              ,新寶清,,,(02)27624852        ,121568688.0,25051089.0,台北市,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,松山區,121.568688,25.051089,7-11
台北市松山區八德路四段697號1樓,(02)27643042        ,154518              ,新饒河,,,(02)27632434        ,121576534.411261,25050408.9471678,台北市,Y,Y,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,松山區,121.57653441126101,25.0504089471678,7-11
台北市松山區新東街60巷16號18號1樓,(02)27647196        ,135610              ,福源,,,(02)27649672        ,121566068.404037,25062110.9882123,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,松山區,121.566068404037,25.0621109882123,7-11
台北市松山區八德路四段245巷35號,(02)27627392        ,164618              ,影城,,,(02)27634585        ,121564343.0,25050443.0,台北市,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,松山區,121.564343,25.050443,7-11
台北市松山區復興北路35號,(02)27402897        ,906209              ,樂得,,,(02)27401886        ,121544193.0,25050146.0,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,松山區,121.544193,25.050146,7-11
台北市松山區敦化北路100號1樓,(02)25457806        ,131593              ,錢京,,,(02)27177520        ,121548322.390798,25052738.9557778,台北市,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,松山區,121.548322390798,25.0527389557778,7-11
台北市松山區寶清街34號1樓,(02)27533815        ,151542              ,聰明,,,(02)87874670        ,121567732.0,25052698.0,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,松山區,121.567732,25.052698,7-11
台北市松山區八德路四段321號,(02)27472152        ,162047              ,寶德,,,(02)27476621        ,121567088.40434,25049364.9436836,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,松山區,121.56708840434,25.0493649436836,7-11
台北市松山區延壽街323號,(02)27699131        ,170417              ,鑫壽,,,(02)27694858        ,121560524.0,25056714.0,台北市,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,松山區,121.560524,25.056714,7-11
台北市信義區吳興街156巷2弄2號4號1樓,(02)27337856        ,149697              ,三興,,,(02)27335027        ,121561392.399503,25029185.8733115,台北市,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,信義區,121.56139239950299,25.0291858733115,7-11
台北市信義區基隆路2段22號,(02)27202248        ,128542              ,中興,,,(02)27586997        ,121558791.0,25031971.0,台北市,Y,Y,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,信義區,121.558791,25.031971,7-11
台北市信義區正和里光復南路419巷41號,(02)87894596        ,151335              ,仁和,,,(02)87891891        ,121558423.0,25036561.0,台北市,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,信義區,121.558423,25.036561,7-11
台北市信義區松仁路162號164號1樓,(02)27587457        ,170738              ,北府,,,(02)27586295        ,121568193.404422,25028461.8706686,台北市,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,信義區,121.568193404422,25.0284618706686,7-11
