期別,開獎日,兌獎截止,銷售金額,獎金總額,獎號_1,獎號_2,獎號_3,獎號_4,獎號_5,獎號_6,特別號,頭獎_中獎注數,貳獎_中獎注數,參獎_中獎注數,肆獎_中獎注數,伍獎_中獎注數,陸獎_中獎注數,柒獎_中獎注數,普獎_中獎注數,頭獎_單注獎金,貳獎_單注獎金,參獎_單注獎金,肆獎_單注獎金,伍獎_單注獎金,陸獎_單注獎金,柒獎_單注獎金,普獎_單注獎金,頭獎_累積至次期獎金,貳獎_累積至次期獎金,參獎_累積至次期獎金,肆獎_累積至次期獎金,伍獎_累積至次期獎金
104000106,104/12/18,105/03/18,85470150,83806164,25,18,15,06,05,11,31,0,4,63,104,2165,2331,21607,33773,0,337883,21452,8663,1144,1000,400,400,53241256,0,0,0,0
104000105,104/12/15,105/03/15,86216800,66190465,22,18,31,23,11,04,19,0,1,32,91,1749,2104,21266,30288,0,1481618,46300,10854,1553,1000,400,400,36797582,0,0,0,0
104000104,104/12/11,105/03/11,88603650,48732007,42,25,01,43,04,29,11,0,2,18,88,1365,2410,25332,26188,0,771420,85713,11688,2072,1000,400,400,18771225,0,0,0,0
104000103,104/12/08,105/03/08,87234000,137126991,15,08,40,43,36,32,03,1,1,31,113,2012,2664,24631,30305,100000000,7587128,45174,8262,1276,1000,400,400,0,0,0,0,0
104000102,104/12/04,105/03/04,88086600,88238083,16,21,34,47,37,41,29,0,0,25,45,1368,1780,19012,24427,0,0,70300,26037,2355,1000,400,400,56744445,6186710,0,0,0
104000101,104/12/01,105/03/01,84806250,66394721,41,37,13,06,19,15,22,0,0,31,82,1594,2067,21159,26867,0,0,49095,12373,1750,1000,400,400,35361264,4429189,0,0,0
104000100,104/11/27,105/02/27,83245550,47307836,04,41,05,23,40,25,11,0,0,23,78,1456,2269,23421,27684,0,0,60193,11832,1743,1000,400,400,16844057,2907227,0,0,0
104000099,104/11/24,105/02/24,85258450,128364932,48,01,09,29,28,13,45,2,0,29,75,1504,1946,19449,29467,50000000,0,52509,13535,1856,1000,400,400,0,1522784,0,0,0
104000098,104/11/20,105/02/20,83921900,65965362,40,09,04,10,39,42,08,0,1,51,109,1993,2404,24827,30423,0,1299182,25474,7946,1195,1000,400,400,35615039,0,0,0,0
104000097,104/11/17,105/02/17,87144150,47929282,02,44,07,47,31,26,36,0,1,31,72,1377,1939,20580,26559,0,1628080,52518,15074,2167,1000,400,400,19808317,0,0,0,0
104000096,104/11/13,105/02/13,109382100,264421744,33,18,16,11,31,01,19,1,1,39,99,2019,2656,27259,37126,225781061,3563150,48846,12828,1729,1000,400,400,0,0,0,0,0
104000095,104/11/10,105/02/10,103774350,239505285,07,27,45,11,10,28,21,0,0,57,126,2345,3015,26894,39169,0,0,29090,8773,1296,1000,400,400,202603448,1658141,0,0,0
104000094,104/11/06,105/02/06,104016400,217106024,30,45,27,49,08,24,42,0,1,21,80,1766,2154,23568,31291,0,3625632,94604,16555,2062,1000,400,400,182429393,0,0,0,0
104000093,104/11/03,105/02/03,93696350,189850521,28,45,08,16,48,22,13,0,0,29,75,1642,2296,24135,30668,0,0,56515,14568,1829,1000,400,400,158258057,1638947,0,0,0
104000092,104/10/30,105/01/30,95108000,173835652,15,08,20,03,06,30,40,0,1,66,131,2594,2603,22782,38550,0,3095867,22885,7686,1067,1000,400,400,138317529,0,0,0,0
104000091,104/10/27,105/01/27,91902900,151197734,07,17,34,08,10,36,43,0,0,27,82,1938,2166,20333,34558,0,0,58720,12889,1499,1000,400,400,119940801,1585451,0,0,0
104000090,104/10/23,105/01/23,89506300,128634659,01,41,16,43,47,46,25,0,2,26,71,1528,1889,19718,25874,0,873079,67159,16395,2095,1000,400,400,100651139,0,0,0,0
104000089,104/10/20,105/01/20,89829200,115240195,32,12,37,17,39,38,27,0,2,43,93,1600,2710,24038,29099,0,3263267,35499,10942,1749,1000,400,400,79406194,0,0,0,0
104000088,104/10/16,105/01/16,93647500,93090480,31,20,29,44,25,40,21,0,0,18,60,1431,1831,20011,27437,0,0,102319,20463,2359,1000,400,400,60834075,5000060,0,0,0
104000087,104/10/13,105/01/13,89254000,68143018,24,29,32,44,49,31,39,0,0,33,74,1661,1863,20310,26456,0,0,51855,15416,1888,1000,400,400,38426050,3158305,0,0,0
